Date,GDP per capita ,"Value of Private Residential Construction Put in Place excluding rental, vacant, and seasonal residential improvements - Seasonally Adjusted Annual Rate",Unemployment Rate,Fed Funds Rate,"Percent change of total consumer credit, seasonally adjusted at an annual rate",Inflation Rate,Home Price Index,Residential Loan Delinquency Rates
1990,23848.00,NULL,5.4,8.096520548,1.705833333,5.4,76.93575,NULL
1991,24303.00,NULL,6.4,5.685013699,-1.2675,4.2,75.92258333,3.2
1992,25393.00,NULL,7.3,3.521065574,1.01,3,76.33016667,2.9
1993,26364.00,2492435.00,7.3,3.021342466,7.1525,3,77.41575,2.6
1994,27674.00,2890546.00,6.6,4.206328767,14.24416667,2.6,79.4705,2.2
1995,28671.00,2743896.00,5.6,5.83430137,13.52,2.8,80.99458333,2.12
1996,29947.00,3077012.00,5.6,5.300464481,9.46,3,82.81075,2.24
1997,31440.00,3173909.00,5.3,5.461506849,5.549166667,2.3,85.31841667,2.26
1998,32834.00,3545392.00,4.6,5.350931507,7.0525,1.6,90.09733333,2.09
1999,34495.00,3910073.00,4.3,4.972356164,7.4875,2.2,96.37016667,1.99
2000,36318.00,4162218.00,4,6.237431694,10.84666667,3.4,104.7679167,2
2001,37101.00,4367715.00,4.2,3.878356164,8.458333333,2.8,113.1785,2.21
2002,37971.00,4752501.00,5.7,1.666794521,5.446666667,1.6,122.27825,2.15
2003,39412.00,5340253.00,5.8,1.126493151,5.213333333,2.3,133.7308333,1.8
2004,41630.00,6377512.00,5.7,1.350327869,5.3975,2.7,150.43925,1.5
2005,44026.00,7478987.00,5.3,3.217068493,4.413333333,3.4,171.7369167,1.55
2006,46214.00,7334059.00,4.7,4.965424658,4.9925,3.2,183.4485,1.7
2007,47869.00,5879652.00,4.6,5.017315068,5.949166667,2.8,179.9206667,2.5
2008,48283.00,4314248.00,5,1.924180328,1.311666667,3.8,164.05875,4.9
2009,47008.00,3040670.00,7.8,0.15860274,-3.628333333,-0.4,148.5431667,9
2010,48403.00,2955752.00,9.8,0.176246575,-1.103333333,1.6,144.671,11.1
2011,49826.00,2959645.00,9.1,0.101506849,4.0625,3.2,139.2591667,10.5
2012,51556.00,3272414.00,8.3,0.14057377,5.615,2.1,140.9941667,10.3
2013,53061.00,3952365.00,8,0.107342466,5.9325,1.5,154.5255833,9.1
2014,54993.00,4533686.00,6.6,0.088493151,6.9225,1.6,164.7100833,7.3
2015,56770.00,5173716.00,5.7,0.133726027,6.915,0.1,172.2049167,5.7
2016,57877.00,5751499.00,4.8,0.393196721,6.586666667,1.3,180.9595,4.45
2017,59895.00,6471044.00,4.7,1.00137741,5.120833333,2.1,191.4455833,3.7
2018,62606.00,6697237.00,4,1.78959596,4.666666667,2.4,202.5384167,3.15
2019,64767.00,6526854.00,4,2.278957346,4.4625,1.8,209.56025,2.62
2020,66900.00,7254112.00,3.5,0.362648221,-0.066666667,1.2,222.1694167,2.6
