Date,inflation rate,unemployment rate,Value of Private Residential Construction,Mortgage Interest Rate,"Percent change of total consumer credit, seasonally adjusted at an annual rate",Home Price Index
01-1990,5.20 % ,5.40%,,9.9,4.69,76.89700000000000
02-1990,5.26 % ,5.30%,,10.2,1.59,77.05200000000000
03-1990,5.23 % ,5.20%,,10.27,-0.04,77.20000000000000
04-1990,4.71 % ,5.40%,,10.37,0,77.27800000000000
05-1990,4.36 % ,5.40%,,10.48,1.51,77.29800000000000
06-1990,4.67 % ,5.20%,,10.16,4.71,77.25800000000000
07-1990,4.82 % ,5.50%,,10.04,5.97,77.13900000000000
08-1990,5.62 % ,5.70%,,10.1,2.78,77.00700000000000
09-1990,6.16 % ,5.90%,,10.18,2.49,76.84900000000000
10-1990,6.29 % ,5.90%,,10.17,3.29,76.70200000000000
11-1990,6.27 % ,6.20%,,10.01,1.49,76.36600000000000
12-1990,6.11 %,6.30%,,9.67,-8.01,76.18300000000000
01-1991,5.65 % ,6.40%,,9.64,-2.42,75.91400000000000
02-1991,5.31 % ,6.60%,,9.37,0.64,75.73500000000000
03-1991,4.90 % ,6.80%,,9.5,1.96,75.57100000000000
04-1991,4.89 % ,6.70%,,9.5,-0.79,75.56500000000000
05-1991,4.95 % ,6.90%,,9.47,0.02,75.76400000000000
06-1991,4.70 % ,6.90%,,9.62,-2.73,75.99300000000000
07-1991,4.45 % ,6.80%,,9.58,-2.93,76.08400000000000
08-1991,3.80 % ,6.90%,,9.24,-2.99,76.10900000000000
09-1991,3.39 % ,6.90%,,9.01,-1.69,76.19500000000000
10-1991,2.92 % ,7.00%,,8.86,-3.4,76.07300000000000
11-1991,2.99 % ,7.00%,,8.71,-0.51,76.01100000000000
12-1991,3.06 %,7.30%,,8.5,-0.37,76.05700000000000
01-1992,2.60 % ,7.30%,,8.43,1.43,76.08800000000000
02-1992,2.82 % ,7.40%,,8.76,0.99,76.15700000000000
03-1992,3.19 % ,7.40%,,8.94,-0.3,76.27900000000000
04-1992,3.18 % ,7.40%,,8.85,-2.68,76.34700000000000
05-1992,3.02 % ,7.60%,,8.67,0.01,76.40000000000000
06-1992,3.09 % ,7.80%,,8.51,-0.59,76.33400000000000
07-1992,3.16 % ,7.70%,,8.13,1.19,76.26800000000000
08-1992,3.15 % ,7.60%,,7.98,2.64,76.23300000000000
09-1992,2.99 % ,7.60%,,7.92,0.56,76.24200000000000
10-1992,3.20 % ,7.30%,,8.09,-0.96,76.38000000000000
11-1992,3.05 % ,7.40%,,8.31,4.72,76.55800000000000
12-1992,2.90 %,7.40%,,8.21,5.11,76.67600000000000
01-1993,3.26 % ,7.30%,194150,7.99,4.77,76.78700000000000
02-1993,3.25 % ,7.10%,194689,7.68,7.02,76.84000000000000
03-1993,3.09 % ,7.00%,190185,7.5,-0.59,76.87100000000000
04-1993,3.23 % ,7.10%,198296,7.46,9,76.93900000000000
05-1993,3.22 % ,7.10%,198835,7.47,0,77.04000000000000
06-1993,3.00 % ,7.00%,203175,7.42,5.93,77.24400000000000
07-1993,2.78 % ,6.90%,208760,7.21,8.31,77.43300000000000
08-1993,2.77 % ,6.80%,212238,7.11,6.82,77.61500000000000
09-1993,2.69 % ,6.70%,214446,6.91,9.16,77.79600000000000
10-1993,2.75 % ,6.80%,214778,6.83,10.01,77.94500000000000
11-1993,2.68 % ,6.60%,227235,7.16,12.61,78.15000000000000
