"Value of Private Residential Construction Put in Place excluding rental, vacant, and seasonal residential improvements - Seasonally Adjusted Annual Rate",,,,,,,,,,,,,
(Millions of Dollars),,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
1993,"1,94,150","1,94,689","1,90,185","1,98,296","1,98,835","2,03,175","2,08,760","2,12,238","2,14,446","2,14,778","2,27,235","2,35,648","24,92,435"
1994,"2,38,612","2,36,577","2,35,150","2,44,746","2,44,056","2,44,032","2,45,463","2,43,134","2,42,619","2,34,905","2,39,857","2,41,395","28,90,546"
1995,"2,41,184","2,34,257","2,28,013","2,25,488","2,22,062","2,18,972","2,24,113","2,26,045","2,28,688","2,27,589","2,31,913","2,35,572","27,43,896"
1996,"2,40,958","2,43,695","2,49,952","2,52,836","2,59,296","2,63,085","2,63,549","2,63,618","2,65,677","2,61,444","2,59,668","2,53,234","30,77,012"
1997,"2,55,365","2,58,595","2,64,566","2,57,490","2,64,581","2,62,299","2,61,593","2,63,951","2,70,511","2,72,980","2,72,786","2,69,192","31,73,909"
1998,"2,76,485","2,79,249","2,91,505","2,88,409","2,92,879","2,96,632","2,96,717","2,99,495","3,05,345","3,08,127","3,07,899","3,02,650","35,45,392"
1999,"3,05,968","3,07,914","3,16,822","3,16,111","3,20,326","3,22,905","3,20,854","3,26,779","3,34,947","3,42,423","3,48,035","3,46,989","39,10,073"
2000,"3,53,065","3,51,933","3,53,452","3,56,188","3,49,907","3,48,133","3,37,374","3,37,583","3,39,048","3,44,095","3,47,301","3,44,139","41,62,218"
2001,"3,48,279","3,53,629","3,50,029","3,61,991","3,60,534","3,65,905","3,66,500","3,69,000","3,68,809","3,70,957","3,75,803","3,76,279","43,67,715"
2002,"3,77,631","3,85,745","3,85,406","3,98,990","3,94,223","4,01,920","4,04,632","3,98,875","3,94,820","3,97,077","4,01,424","4,11,758","47,52,501"
2003,"4,17,788","4,17,500","4,13,303","4,20,510","4,21,143","4,30,929","4,48,917","4,53,031","4,58,676","4,69,855","4,85,245","5,03,356","53,40,253"
2004,"4,98,640","5,00,439","5,06,879","5,12,400","5,22,534","5,27,794","5,43,260","5,51,447","5,46,306","5,51,137","5,50,392","5,66,284","63,77,512"
2005,"5,75,650","5,88,435","5,91,580","5,98,335","6,03,707","6,16,958","6,28,750","6,33,710","6,47,374","6,58,590","6,65,376","6,70,522","74,78,987"
2006,"6,75,679","6,78,562","6,68,311","6,50,388","6,33,815","6,15,053","5,98,487","5,84,460","5,73,878","5,61,444","5,48,971","5,45,011","73,34,059"
2007,"5,37,571","5,31,641","5,27,865","5,23,666","5,14,131","5,05,936","4,95,976","4,80,974","4,65,709","4,47,819","4,31,878","4,16,486","58,79,652"
2008,"4,02,138","3,86,197","3,90,471","3,85,328","3,81,911","3,74,495","3,64,873","3,52,598","3,40,396","3,29,304","3,12,540","2,93,997","43,14,248"
2009,"2,83,870","2,67,938","2,54,645","2,43,958","2,37,188","2,37,343","2,44,141","2,50,768","2,54,135","2,54,942","2,55,941","2,55,801","30,40,670"
2010,"2,54,826","2,55,121","2,53,924","2,54,574","2,52,896","2,50,518","2,44,354","2,38,695","2,37,834","2,36,512","2,37,468","2,39,030","29,55,752"
2011,"2,40,548","2,40,062","2,41,586","2,44,598","2,45,449","2,47,520","2,49,770","2,51,877","2,50,152","2,52,821","2,47,279","2,47,983","29,59,645"
2012,"2,51,869","2,47,503","2,52,283","2,58,567","2,63,797","2,69,664","2,73,587","2,79,216","2,86,120","2,94,197","2,96,510","2,99,101","32,72,414"
2013,"3,03,792","3,09,078","3,12,083","3,16,537","3,21,706","3,24,770","3,28,388","3,35,690","3,39,977","3,46,273","3,53,317","3,60,754","39,52,365"
2014,"3,67,522","3,64,391","3,70,368","3,75,235","3,77,661","3,71,860","3,71,532","3,73,163","3,81,377","3,85,996","3,92,280","4,02,301","45,33,686"
2015,"4,05,483","4,11,534","4,12,105","4,15,354","4,23,855","4,32,084","4,37,549","4,38,637","4,46,379","4,48,718","4,47,590","4,54,428","51,73,716"
2016,"4,58,300","4,59,376","4,72,356","4,69,303","4,68,554","4,72,390","4,75,371","4,78,473","4,80,518","4,97,911","5,04,344","5,14,603","57,51,499"
2017,"5,13,586","5,36,522","5,30,177","5,34,992","5,34,302","5,33,206","5,39,722","5,39,160","5,41,370","5,39,543","5,60,127","5,68,337","64,71,044"
2018,"5,75,299","5,85,549","5,76,915","5,75,694","5,74,864","5,64,660","5,56,155","5,47,261","5,47,817","5,36,260","5,34,182","5,22,581","66,97,237"
2019,"5,28,328","5,23,569","5,25,424","5,30,800","5,32,148","5,38,372","5,43,830","5,52,508","5,55,879","5,56,693","5,66,916","5,72,387","65,26,854"
2020r,"5,89,103","5,92,960","5,88,060","5,62,339","5,39,555","5,53,721","5,75,451","6,15,396","6,20,941","6,50,484","6,70,427","6,95,675","72,54,112"
2021p,"7,12,951",,,,,,,,,,,,
p Preliminary r Revised,,,,,,,,,,,,,
